CSB18001,Prof. Dilip Kr. Saikia,Circulation system of CSE Library,30-06-2021,
CSB18002,Prof. Dhruba K Bhattacharyya,One line course registration system,30-06-2021,
CSB18003,Prof. Smriti Kumar Sinha,Resource management system of CSE,30-06-2021,
CSB18004,Prof. Sarat Saharia,Hospital Management System,30-06-2021,
CSB18005,Dr. S. Ibotombi Singh,Payroll Management System,30-06-2021,
CSB18006,Prof. Utpal Sharma,Online Air Ticketing System,30-06-2021,
CSB18007,Prof. Bhogeswar Borah,Online Campus Security Duty Management System,30-06-2021,
CSB18008,Prof. Nityananda Sarma,Online Hostel Information System,30-06-2021,
CSB18009,Dr. Bhabesh Nath,Inter-hostel Tournament Management System,30-06-2021,
CSB18010,Dr. Siddhartha S. Satapathy,Online Examination Management System,30-06-2021,
CSB18012,Mr. L Basantakumar Singh,Online Assignment Submission and Evaluation System,30-06-2021,
CSB18013,Dr. Sanjib K Deka,Online Student Mentoring System,30-06-2021,
CSB18014,Dr. Rosy Sarmah,Online meeting and event management system,30-06-2021,
CSB18015,Dr. Debojit Boro,Online book (used books) shopping,30-06-2021,
CSB18016,Dr. Arindam Karmakar,Online Publication management system,30-06-2021,
CSB18017,Dr. Sanghamitra Nath,Online examination and class time tablemanagement system,30-06-2021,
CSB18018,Dr. Swarnajyoti Patra,Online bus ticket reservation system,30-06-2021,
CSB18020,Dr. Shobhanjana Kalita,Online Railway ticket reservation system,30-06-2021,
CSB18022,Dr. Nabajyoti Medhi,Leave management systems for employee,30-06-2021,
CSB18023,Mrs. Monisha Devi,Research project management system,30-06-2021,
CSB18024,Dr. Ramcharan Baishya,Online complain registration and redressal system,30-06-2021,
CSB18027,Prof. Dilip Kr. Saikia,Online resource maintenance system having up-to-date information about each classroom machine/projector/switch/racks/building/fixtures and obsolete machines items etc./belonging to each laboratory and Dept. building as a whole,30-06-2021,
CSB18028,Prof. Dhruba K Bhattacharyya,Online duty roster maintenance system for office staff and Laboratory staff,30-06-2021,
CSB18040,Dr. Sanjib K Deka,Mobile alert generation based TA duty maintenance system,30-06-2021,
CSB18041,Dr. Rosy Sarmah,In-campus Lost and found tracking system,30-06-2021,
CSB18042,Dr. Debojit Boro,In-campus goods sharing system,30-06-2021,
CSB18045,Dr. Arindam Karmakar,Campus horticulture management system,30-06-2021,
CSB18046,Dr. Sanghamitra Nath,Campus waste management system,30-06-2021,
CSB18047,Dr. Swarnajyoti Patra,Campus electricity billing system,30-06-2021,
CSB18048,Dr. Shobhanjana Kalita,Pet adoption management system,30-06-2021,
CSB18049,Dr. Nabajyoti Medhi,Research publication formatting system,30-06-2021,
CSB18050,Mrs. Monisha Devi,Child vaccination tracking system,30-06-2021,
CSB18052,Dr. Ramcharan Baishya,Hostel Mess management,30-06-2021,
CSB18053,Prof. Dilip Kr. Saikia,E-magazine/TU-eNews,30-06-2021,
CSB18055,Prof. Dhruba K Bhattacharyya,Student Clubs Activities Management system,30-06-2021,
CSB18056,Prof. Smriti Kumar Sinha,Online feedback analysis and action taken report management,30-06-2021,
CSB18057,Prof. Sarat Saharia,Course registration and withdrawal management,30-06-2021,
CSB18058,Dr. S. lbotombi Singh,Students’ Project Management (allocation/progress tracking),30-06-2021,
CSB18059,Prof. Utpal Sharma,Mentorship Management (Attendance performance tracking),30-06-2021,
CSB18060,Prof. Bhogeswar Borah,Alumni information management,30-06-2021
